Vmag,Plx,B-V,MagA,Clase
9.46,8.62,0.609,19.137535,0.0
8.84,4.33,0.206,17.02244,0.0
9.68,6.27,0.569,18.666338,0.0
6.28,2.33,1.613,13.116779,1.0
8.15,-0.06,0.01,7.040756,1.0
10.2,7.27,0.677,19.507671,0.0
8.27,2.82,1.137,15.521246,1.0
6.57,8.21,0.139,16.141716,0.0
9.25,5.49,0.7,17.94786,0.0
8.61,2.29,1.025,15.409178,1.0
9.2,6.94,0.56,18.406797,0.0
7.28,9.05,1.15,17.063244,1.0
6.36,3.16,0.614,13.858436,1.0
10.49,1.34,0.96,16.125523,1.0
8.45,-1.93,1.366,14.877787,1.0
7.47,35.56,0.711,20.224808,0.0
8.57,3.08,0.964,16.012753,1.0
8.22,2.07,1.732,14.799852,1.0
7.0,0.11,0.221,7.2069635,0.0
9.3,3.92,0.148,17.26643,0.0
7.92,1.96,1.715,14.381281,1.0
3.54,30.93,0.262,15.991899,1.0
8.11,15.89,0.58,19.11562,0.0
7.87,4.97,0.255,16.35178,1.0
7.49,17.89,0.536,18.753052,0.0
4.23,109.23,0.572,19.42171,0.0
6.54,9.43,0.061,16.41256,0.0
8.41,2.34,1.491,15.256079,1.0
9.34,9.06,0.574,19.12564,0.0
6.55,0.57,-0.015,10.329374,1.0
8.82,5.29,1.219,17.437279,0.0
9.04,8.39,0.457,18.65881,0.0
5.99,0.61,-0.069,9.916649,1.0
5.88,5.23,1.543,14.472508,1.0
7.81,2.81,-0.073,15.053532,1.0
7.02,6.05,0.253,15.928778,1.0
7.51,7.49,0.448,16.882408,0.0
7.24,7.6,1.105,16.644068,1.0
8.38,3.43,1.112,16.05647,1.0
7.06,3.37,2.025,14.698149,1.0
6.27,12.41,0.462,16.73886,0.0
5.93,7.86,0.656,15.407112,0.0
9.85,14.1,0.876,20.596096,0.0
6.92,-0.27,0.818,9.076818,1.0
9.5,9.05,0.667,19.283243,0.0
8.84,5.14,0.131,17.394815,0.0
5.02,15.03,0.043,15.904795,0.0
8.89,13.85,0.549,19.59725,0.0
8.9,2.84,0.965,16.166592,1.0
5.57,12.02,-0.024,15.969522,0.0
7.15,7.79,0.068,16.607687,0.0
9.72,8.85,0.647,19.454716,0.0
7.39,7.97,-0.04,16.897291,1.0
8.21,3.14,1.04,15.694649,1.0
6.94,1.45,1.047,12.74684,1.0
9.17,-0.34,0.101,11.8273945,1.0
8.68,4.15,-0.005,16.77024,0.0
6.33,10.61,1.115,16.458576,1.0
8.95,3.62,0.874,16.743542,1.0
8.33,6.26,0.239,17.312872,0.0
9.52,4.02,0.468,17.54113,0.0
5.35,2.68,0.094,12.490674,0.0
7.51,16.91,0.77,18.650719,0.0
7.89,31.12,0.81,20.355198,0.0
5.88,6.59,1.016,14.974427,1.0
7.65,1.95,-0.045,14.100174,0.0
8.29,4.99,1.194,16.780502,1.0
8.25,16.86,0.646,19.384289,1.0
6.25,3.93,1.399,14.221963,1.0
8.11,0.87,1.588,12.807596,1.0
8.56,14.16,0.59,19.315315,0.0
7.55,0.79,1.387,12.038136,1.0
8.93,3.16,1.077,16.428436,1.0
8.47,4.33,1.178,16.65244,1.0
7.71,30.99,1.133,20.166107,0.0
7.58,1.46,1.692,13.401764,1.0
9.05,16.61,0.769,20.151848,0.0
7.26,2.61,1.326,14.343203,1.0
8.8,1.3,1.055,14.369717,1.0
6.73,3.52,1.61,14.462713,1.0
9.88,1.23,0.126,15.329526,1.0
8.75,6.96,0.554,17.963047,0.0
8.91,2.23,1.043,15.651524,1.0
7.27,11.35,0.409,17.544981,0.0
9.36,2.58,0.526,16.418098,0.0
9.53,4.15,0.562,17.62024,0.0
9.93,0.06,0.043,8.820757,0.0
9.12,5.34,0.666,17.757706,0.0
8.53,19.61,0.625,19.992388,0.0
8.16,0.95,0.013,13.048618,1.0
8.28,3.32,0.15,15.885691,1.0
6.35,3.92,1.21,14.31643,1.0
4.58,8.33,1.572,14.183225,1.0
7.95,7.4,0.21,17.296158,0.0
6.97,3.99,0.925,14.974865,1.0
9.1,0.19,0.996,10.493769,1.0
7.96,6.57,0.341,17.047829,1.0
9.82,3.86,0.54,17.752937,0.0
9.2,8.35,0.811,18.808432,0.0
7.33,8.15,0.353,16.885788,0.0
7.17,4.7,1.008,15.53049,0.0
5.57,6.87,1.594,14.754784,1.0
8.11,10.33,0.492,18.1805,0.0
6.86,21.7,0.433,18.5423,0.0
9.66,0.92,0.367,14.478939,1.0
6.76,11.66,0.193,17.093493,1.0
8.25,3.09,0.968,15.699793,1.0
6.37,1.42,1.918,12.131441,1.0
9.19,3.42,0.918,16.86013,1.0
6.86,19.88,0.459,18.352081,0.0
8.97,3.02,0.934,16.370035,0.0
7.72,3.95,0.108,15.702986,0.0
7.54,4.42,0.894,15.767111,1.0
4.85,12.11,0.911,15.26572,1.0
7.38,4.2,0.075,15.496246,0.0
8.21,1.98,1.18,14.693326,1.0
8.83,21.22,0.761,20.463728,0.0
7.13,3.96,1.26,15.118476,1.0
7.79,1.87,1.553,14.149208,1.0
7.4,4.08,1.116,15.4533,1.0
6.69,8.78,1.12,16.407473,1.0
8.46,1.05,1.398,13.565947,1.0
7.92,9.71,0.411,17.856096,0.0
8.73,2.06,1.147,15.2993355,1.0
8.16,8.43,0.542,17.789137,0.0
7.95,3.84,1.089,15.871656,1.0
6.96,5.58,1.325,15.6931715,1.0
9.01,3.64,1.151,16.815508,1.0
8.79,5.89,1.192,17.640575,1.0
8.5,-1.19,1.067,13.877735,1.0
7.95,6.85,0.358,17.128452,0.0
7.36,14.04,0.419,18.096836,0.0
8.63,2.44,0.0,15.56695,0.0
8.17,3.71,0.994,16.016869,1.0
7.63,4.26,1.325,15.777048,1.0
9.27,1.03,0.829,14.334187,1.0
7.62,7.68,0.074,17.046806,0.0
7.53,2.02,0.554,14.056757,1.0
8.22,10.15,0.531,18.25233,0.0
9.2,27.79,0.92,21.419443,0.0
8.23,2.83,1.032,15.488932,1.0
7.83,6.1,1.024,16.756649,1.0
8.11,5.9,0.906,16.96426,0.0
9.31,4.76,0.398,17.698036,0.0
7.08,5.99,1.172,15.9671335,1.0
7.8,1.5,1.144,13.680456,1.0
8.89,6.24,0.354,17.865925,0.0
5.56,3.1,1.608,13.016808,1.0
8.32,3.36,1.567,15.951696,1.0
6.87,0.61,1.753,10.796649,1.0
5.68,0.65,0.683,9.744566,1.0
7.93,1.16,0.097,13.25229,1.0
7.88,4.4,0.054,16.097263,0.0
7.82,10.79,0.44,17.985107,0.0
5.72,1.42,-0.095,11.4814415,1.0
6.3,9.76,0.251,16.24725,0.0
6.78,4.49,0.052,15.041231,1.0
8.73,3.98,0.057,16.729416,0.0
10.08,4.62,0.407,18.40321,0.0
8.48,5.42,0.838,17.149996,0.0
7.26,27.99,0.61,19.495014,0.0
9.05,2.01,1.568,15.565981,1.0
8.23,2.71,1.374,15.394846,1.0
8.65,3.36,1.424,16.281696,1.0
8.32,5.19,0.407,16.895836,0.0
7.26,8.14,0.076,16.813122,0.0
6.32,2.25,-0.183,13.080913,1.0
8.6,0.17,1.623,9.752245,1.0
7.13,2.95,0.958,14.479111,1.0
9.01,1.94,1.639,15.449009,0.0
5.14,3.76,-0.152,13.01594,0.0
8.8,0.25,1.354,10.7897,1.0
6.63,2.28,1.111,13.419674,1.0
6.3,16.13,0.366,17.338173,0.0
8.89,12.62,0.509,19.395298,0.0
7.51,3.01,1.26,14.902833,1.0
7.57,5.3,0.951,16.19138,1.0
8.78,3.35,1.289,16.405224,1.0
4.53,3.03,0.6,11.937214,1.0
8.26,4.39,1.052,16.472322,1.0
8.71,3.1,0.922,16.16681,1.0
9.34,0.54,1.19,13.001968,1.0
6.58,3.34,1.271,14.198732,1.0
8.14,11.66,0.487,18.473492,0.0
8.7,1.16,1.036,14.022289,1.0
9.17,2.99,1.349,16.548355,1.0
8.72,4.0,1.167,16.7303,1.0
3.84,2.21,0.022,10.561961,1.0
8.33,1.24,-0.02,13.797109,0.0
8.53,4.54,0.173,16.815279,0.0
8.94,2.62,1.103,16.031506,0.0
8.24,4.68,1.576,16.591228,0.0
8.97,1.3,-0.076,14.539717,1.0
9.65,5.23,0.499,18.242508,0.0
7.7,2.84,1.454,14.966592,1.0
8.96,2.94,1.178,16.301737,1.0
7.49,4.38,1.113,15.697371,1.0
8.14,1.84,1.058,14.464089,1.0
6.1,2.91,-0.1,13.419464,0.0
7.48,5.97,0.056,16.35987,0.0
5.69,-0.07,0.584,4.91549,1.0
9.43,5.42,0.518,18.099997,0.0
6.8,5.39,1.524,15.457944,1.0
9.06,0.81,1.593,13.602426,1.0
8.15,3.91,0.008,16.110884,0.0
6.9,8.98,1.027,16.666382,1.0
8.07,2.44,1.098,15.006949,1.0
5.72,4.51,1.372,13.990883,1.0
6.96,1.23,1.6,12.409526,1.0
9.26,1.99,1.149,15.754265,1.0
8.22,2.2,1.527,14.932114,1.0
6.76,3.83,1.48,14.675994,1.0
9.37,5.16,0.508,17.933249,1.0
10.93,-1.3,0.866,16.499718,0.0
8.79,1.68,-0.05,14.916546,0.0
7.83,2.86,1.199,15.11183,1.0
8.05,7.56,0.456,17.442608,0.0
6.89,5.52,1.096,15.599695,1.0
7.88,4.93,0.973,16.344234,1.0
9.88,6.43,0.489,18.921055,0.0
7.17,3.81,0.823,15.074625,1.0
7.13,4.4,0.972,15.347263,1.0
8.59,3.93,0.993,16.561962,1.0
7.88,4.49,0.238,16.141232,0.0
8.65,2.43,1.294,15.578032,1.0
8.79,2.9,0.003,16.10199,0.0
7.75,8.83,0.513,17.479805,0.0
9.74,3.34,0.213,17.358732,1.0
8.17,2.81,-0.05,15.413531,0.0
9.77,6.51,0.566,18.837906,0.0
8.85,7.62,0.66,18.259775,0.0
5.96,5.78,0.996,14.769639,1.0
9.1,1.17,1.14,14.440929,1.0
